"pregunta_faq","respuesta"
"¿En qué casos puedo consultar al DOA?","Podés hacerlo si tenés dificultades para estudiar, rendir exámenes, si te sentís desmotivado o atravesás una situación personal que afecte tu cursado."
"¿Puedo acudir al DOA si tengo problemas económicos?","Sí, el DOA también orienta en casos donde necesites solicitar becas por dificultades económicas."
"¿El DOA atiende casos de orientación vocacional?","Sí, podés consultar si estás desorientado vocacionalmente o querés repensar tu elección de carrera."
"¿Puedo contactar al DOA si me siento solo o desmotivado?","Sí, el DOA brinda acompañamiento personal ante situaciones emocionales o de adaptación."
"¿Qué son las becas académicas que gestiona el DOA?","Son ayudas económicas para estudiantes que demuestran compromiso académico y necesitan apoyo para continuar sus estudios."
"¿Qué criterios se consideran para otorgar becas académicas?","Se prioriza el mérito académico y la necesidad económica de los postulantes."
"¿Qué talleres ofrece el DOA para los alumnos?","El DOA ofrece talleres de apoyo académico y emocional a lo largo del año, entre ellos: 'Abordando el temor frente a situaciones de exámenes', 'Herramientas y Habilidades para el estudio', 'Asesoramiento en técnicas de estudio', 'Re-pensando tu elección de carrera', 'Fortaleciendo tus metas', 'Modo Examen ON' y 'Anti Procrastinación en el estudio'."
"¿Con qué frecuencia se realizan los talleres del DOA?","Los encuentros grupales se organizan cada 15 días y duran aproximadamente 2 horas."
"¿Puedo solicitar asesoramiento individual además de los talleres?","Sí, cada alumno puede comunicarse con el DOA para solicitar un espacio de atención personalizada."
"¿Qué es el taller 'Grupos Virtuales: herramientas y habilidades para organizar el estudio'?","Es un espacio para alumnos de modalidad Distancia donde se enseñan técnicas para organizarse y estudiar con herramientas digitales."
"¿Cómo se realiza el taller 'Grupos Virtuales'?","Se dicta en un único encuentro de 90 minutos a través del canal DOA-Distancia del webchat institucional."
"¿Qué se trabaja en el taller 'Abordando el temor frente a exámenes'?","Se reflexiona sobre el miedo a rendir y se comparten estrategias para superar bloqueos o inhibiciones ante evaluaciones."
"¿En qué consiste el taller 'Herramientas y Habilidades para el estudio'?","Enseña técnicas como resumir, esquematizar e interpretar consignas, para mejorar la organización y el rendimiento académico."
"¿Qué propone el taller 'Asesoramiento en técnicas de estudio'?","Ofrece un espacio reducido (hasta 6 alumnos) para identificar dificultades y aprender métodos de estudio eficaces con la guía de un asesor psicopedagógico."
"¿Con qué frecuencia se dicta el taller de técnicas de estudio?","Tiene una frecuencia semanal y una duración aproximada de 90 minutos."
"¿Qué busca el taller 'Re-pensando tu elección de carrera'?","Ayuda a los estudiantes a revisar su vocación, intereses y posibilidades laborales, para redefinir su camino profesional."
"¿A quién está dirigido el taller 'Fortaleciendo tus metas'?","A estudiantes que están terminando su carrera, para reflexionar sobre su recorrido, fortalezas y expectativas futuras."
"¿Qué temas se tratan en el taller 'Fortaleciendo tus metas'?","Se abordan emociones y expectativas del cierre de la carrera y la transición al rol profesional."
"¿Qué enseña el taller 'Modo Examen ON'?","Brinda estrategias para planificar el estudio, administrar el tiempo y afrontar los exámenes con organización y motivación."
"¿De qué trata el taller 'Anti Procrastinación en el estudio'?","Ayuda a identificar las causas de la postergación y ofrece herramientas prácticas para mejorar la concentración y productividad."
"¿Qué opciones ofrece IES para insertarse en el mundo laboral?","IES brinda dos alternativas: pasantías educativas y empleos, según las necesidades del alumno o del empleador."
"¿En qué se diferencian las pasantías de los empleos?","Las pasantías están relacionadas con la carrera que cursás y tienen fines formativos, mientras que los empleos son puestos laborales abiertos a distintas áreas."
"¿Quiénes pueden acceder al sistema de pasantías?","Los alumnos de IES que estén cursando o tengan el seminario regularizado y mantengan un buen desempeño académico."
"¿Cuáles son los requisitos para inscribirme en pasantías?","Debés tener aprobado el primer semestre, estar regular académica y administrativamente, y tener un buen rendimiento académico."
"¿Cuánto duran las pasantías?","Pueden durar entre 2 meses y 1 año, con posibilidad de renovación por 6 meses adicionales, sin superar los 18 meses totales."
"¿Cuántas horas se trabaja en una pasantía?","Hasta 4 horas diarias de lunes a viernes, o 6 horas y media si se realizan tres días por semana."
"¿Las pasantías generan relación laboral?","No, las pasantías son formativas y no implican relación laboral con la empresa."
"¿Puedo rechazar una oferta de pasantía?","Sí, la participación en el sistema es totalmente voluntaria y podés decidir si aceptás o no una propuesta."
"¿Puedo renunciar a una pasantía una vez iniciada?","Sí, cualquiera de las partes puede rescindir el acuerdo con aviso previo de 5 días, sin necesidad de justificar causa."
"¿Qué ocurre si falto a una entrevista de pasantía sin avisar?","Se suspende tu ficha de pasantías por un período de seis meses."
"¿Qué pasa si no asisto al trabajo una vez seleccionado como pasante?","Si no avisás a la empresa ni al área de pasantías, tu ficha será suspendida por tiempo indeterminado."
"¿Qué objetivos tiene el sistema de pasantías educativas?","Busca que los alumnos adquieran experiencia práctica, habilidades laborales, y mejoren sus posibilidades de inserción profesional."
"¿Qué beneficios aporta una pasantía a los estudiantes?","Permite aplicar conocimientos de la carrera, aprender en entornos reales y fortalecer la orientación profesional."
"¿Puedo realizar una pasantía en una empresa no vinculada a mi carrera?","No, las pasantías deben estar relacionadas con tu carrera en curso."
"¿Qué área gestiona las pasantías en IES?","El Área de Pasantías del IES, que también puede hacer excepciones en casos especiales."
"¿Cuántas horas semanales se pueden trabajar en total en una pasantía?","Hasta 20 horas semanales como máximo."
"¿Puedo hacer más de una pasantía durante mi carrera?","Sí, pero el total acumulado no puede superar un año y medio de duración."
"¿Qué compromisos asumo al aceptar una pasantía?","Representar a IES con responsabilidad y mantener un buen desempeño laboral y académico."
"¿Qué es la Zona de Empleos IES?","Es un espacio que conecta a alumnos y egresados con empresas que buscan incorporar personal."
"¿Quiénes pueden postularse en la Zona de Empleos?","Egresados y alumnos próximos a recibirse de IES."
"¿Qué condiciones tienen los empleos publicados?","Pueden ser de 4, 6 u 8 horas diarias y no dependen exclusivamente de la carrera cursada."
"¿Qué requisitos académicos se piden para acceder a los empleos?","El desempeño académico no es excluyente, aunque se valora positivamente."
"¿Puedo inscribirme tanto en pasantías como en empleos?","Sí, podés participar en ambos programas si cumplís los requisitos correspondientes."
"¿Qué es el Programa de Becas Corporativas de IES?","Es un programa que ofrece beneficios en los aranceles de carreras, cursos y bachillerato a distancia para trabajadores y familiares de organizaciones asociadas."
"¿Qué tipo de beneficios otorga el Programa de Becas Corporativas?","Descuentos en los aranceles de las carreras y cursos del IES para empleados y familiares directos de las organizaciones con convenio."
"¿Ser parte del Programa de Becas Corporativas tiene costo?","No, formar parte del programa no genera ningún costo adicional para la organización."
"¿A quiénes está dirigido el Programa de Becas Corporativas?","A empresas, entes gubernamentales y organizaciones de la sociedad civil que quieran ofrecer beneficios educativos a sus trabajadores y familiares."
"¿El Programa de Becas Corporativas tiene alcance nacional?","Sí, tiene alcance en todo el país y abarca todas las sucursales o extensiones de las organizaciones participantes."
"¿Cómo puede una organización sumarse al Programa de Becas Corporativas?","Debe completar el formulario 'Proponé a tu organización', recibir el Convenio de Reciprocidad, firmarlo y una vez firmado entra en vigencia automáticamente."
"¿Qué es el Convenio de Reciprocidad?","Es el acuerdo entre el IES y la organización que establece los términos y beneficios de la alianza educativa."
"¿Por cuánto tiempo tiene validez el Convenio de Reciprocidad?","Entra en vigencia al firmarse y se renueva automáticamente cada 12 meses."
"¿Qué beneficios tienen los empleados de entes gubernamentales con convenio?","Acceden a descuentos del 20% para empleados y 15% para familiares directos en carreras y cursos del IES."
"¿Qué organismos gubernamentales tienen convenio con IES?","Algunos son ANSES, CONICET Córdoba, Gendarmería Nacional, Policía de Córdoba, Gobierno de la Provincia de Córdoba y numerosas municipalidades."
"¿Qué beneficios tienen los empleados de empresas con convenio?","En general, los empleados obtienen un 20% de descuento y los familiares directos un 15% en los aranceles."
"¿Qué tipo de empresas participan del Programa de Becas Corporativas?","Empresas de diversos rubros como tecnología, industria, servicios, educación y salud, entre ellas Arcor, Renault, Globant, Core BI, Apex América, Grupo Libertad, OSDE y muchas más."
"¿Las empresas tecnológicas pueden sumarse al programa?","Sí, muchas empresas del Córdoba Technology Cluster forman parte del programa y ofrecen beneficios a sus empleados."
"¿Qué beneficios tienen los miembros de organizaciones de la sociedad civil?","Reciben descuentos del 20% para empleados o afiliados y del 15% para familiares directos y asociados."
"¿Qué tipo de organizaciones de la sociedad civil pueden participar?","Mutuales, asociaciones, sindicatos, clubes, fundaciones y cámaras empresariales."
"¿Qué ejemplos de organizaciones civiles tienen convenio con IES?","Algunas son la Asociación Bancaria, AEFIP, Federación de Bomberos Voluntarios, Colegio de Abogados, Sociedad Rural de Jesús María y la Asociación Mutual del Docente de Córdoba."
"¿Las instituciones educativas también pueden acceder a las Becas Corporativas?","Sí, el programa incluye colegios, institutos y centros educativos que ofrecen beneficios a su personal docente, administrativo, alumnos y egresados."
"¿Qué beneficios tienen los docentes o personal de instituciones educativas con convenio?","Acceden a un 20% de descuento para personal docente y administrativo, y un 15% para alumnos, egresados y familiares directos."
"¿Qué ejemplos de instituciones educativas participan del programa?","Algunas son Academia Argüello, Colegio La Salle, Instituto Lisandro de la Torre, Escuela Superior Integral de Lechería (ESIL) e Instituto Elite."
"¿Cómo puedo saber si mi empresa tiene convenio con IES?","Podés consultar el listado de organizaciones con convenios vigentes disponible en la web del IES."
"¿Qué debo hacer si mi empresa no figura en el listado?","Podés proponerla completando el formulario 'Proponé a tu organización' para iniciar el proceso de incorporación."
"¿Los beneficios de las becas corporativas aplican también a familiares?","Sí, los familiares directos de empleados o afiliados de las organizaciones también pueden acceder a descuentos."
"¿Qué porcentaje de descuento se aplica a los familiares?","Generalmente el 15% sobre los aranceles de carreras y cursos del IES."
"¿El beneficio aplica también a jubilados o retirados de entes públicos?","Sí, en algunos convenios, como el del Gobierno de Córdoba o la Policía, los jubilados y retirados también acceden al beneficio."
"¿Cuánto tiempo tarda en activarse el beneficio una vez firmado el convenio?","El convenio entra en vigencia automáticamente al firmarse, sin demoras ni costos adicionales."
"¿Dónde puedo solicitar más información sobre las Becas Corporativas?","Podés comunicarte con el área de Becas del IES o consultar la sección del programa en la web institucional."
"¿Qué beneficios tengo por ser alumno de IES?","Podés acceder a descuentos y promociones en distintos rubros como gastronomía, capacitación, salud, gimnasios, ópticas, indumentaria y más."
"¿Qué necesito para acceder a los beneficios de IES?","Solo necesitás descargar tu credencial IES desde Autogestión y presentarla en los locales adheridos."
"¿Cómo descargo mi credencial IES?","Ingresá a ies21.edu.ar, seleccioná la solapa Alumno, iniciá sesión en Autogestión, hacé clic sobre tu nombre, elegí 'Credencial IES' y guardá la foto en tu celular."
"¿Quiénes pueden usar los beneficios de IES?","Alumnos y egresados del IES pueden acceder a los descuentos presentando su credencial."
"¿Qué rubros participan en los beneficios de IES?","Incluyen bares, gastronomía, capacitación, cuidado personal, gimnasios, librerías, ópticas, indumentaria, salud, tecnología, viajes y más."
"¿Dónde puedo ver el detalle de todos los beneficios?","Podés consultarlos en la sección de Beneficios de la web del IES."
"¿Qué descuentos hay en bares y entretenimientos?","Locales como Vidón Bar, Austral Bar y Big Mamma’s ofrecen entre 10% y 20% de descuento, y otros beneficios especiales en la web."
"¿Qué beneficios hay en el rubro capacitación?","Descuentos de hasta el 15% en instituciones como AgroGlobal, Fundación Saberes, Intertron y Celia Escuela Gastronómica."
"¿Qué descuentos hay en servicios de cuidado personal?","Descuentos del 15% al 30% en lugares como Francisco Córdova, Nuit Estética, Brow Lab y El Balcón."
"¿Qué beneficios hay en gastronomía?","Descuentos del 10% al 20% en locales como La Celeste, Mostachys, Tejeda Especialidades, Verdu Olmos, Be Fruit y Romáu Coffee."
"¿Qué beneficios ofrecen los gimnasios?","Hasta 30% de descuento en membresías en gimnasios como Ergo, Zoom Fitness Centers y Quality Gym & Water."
"¿Hay beneficios en productos para el hogar o mascotas?","Sí, Dormirelax ofrece 40% de descuento y Patitas del Sur 20% para docentes y alumnos."
"¿Qué descuentos hay en cursos de idiomas?","Descuentos del 20% en instituciones como British School, Goethe Institut y Set Idiomas."
"¿Qué beneficios hay en indumentaria?","Descuentos del 10% al 25% en tiendas como Tejano, Histérica Moda Femenina y Usuahia, además de promociones especiales en cumpleaños y compras online."
"¿Qué beneficios hay en librerías?","More Prints ofrece 15% de descuento para docentes y alumnos."
"¿Hay beneficios en salud o servicios médicos?","Sí, MET Medicina Privada ofrece 10% de descuento en todos sus productos y servicios."
"¿Qué beneficios ofrecen las ópticas?","Descuentos del 20% al 30% en ópticas como Minilent, Soler, Centro Óptico Jardín, Por Tus Ojos y Popoff."
"¿Hay descuentos en estacionamientos?","Sí, el Estacionamiento Mercado Sur ofrece tarifa preferencial de $1600 por hora para miembros de la comunidad IES."
"¿Existen beneficios en residencias o departamentos?","Sí, las residencias universitarias Lola y Jerónimo Ritz ofrecen beneficios especiales para alumnos IES."
"¿Qué beneficios hay en servicios como coworkings?","Descuentos de hasta el 20% en espacios como La Fábrica Coworking y NAG Coworking."
"¿Hay descuentos en tecnología?","Sí, Full Technology ofrece beneficios exclusivos para alumnos y docentes IES."
"¿Qué beneficios hay en viajes y turismo?","Descuentos del 5% al 15% en agencias como Trip Brasil, Hecta Viajes y Karspen Expediciones."
"¿Los beneficios aplican también a docentes y administrativos?","Sí, muchos convenios ofrecen descuentos tanto para estudiantes como para docentes y personal administrativo."
"¿Dónde debo presentar mi credencial para obtener el descuento?","En el local o servicio adherido al programa de beneficios del IES."
"¿Los descuentos son válidos todos los días?","Depende del convenio con cada local o empresa; algunos aplican todos los días y otros en horarios o productos específicos."
"¿Puedo consultar los beneficios desde mi celular?","Sí, al descargar tu credencial podés acceder fácilmente a los detalles de cada beneficio desde la web o tu teléfono."
"¿Hay beneficios exclusivos que no están publicados?","Sí, algunos locales ofrecen beneficios especiales que se pueden consultar directamente en la web del IES."
"¿Cuál es la misión del Colegio Universitario IES?","Contribuir al desarrollo de la sociedad con innovación, exigencia y seriedad, formando profesionales capaces de resolver los problemas de las organizaciones."
"¿Qué tipo de formación ofrece el IES?","Ofrece una formación práctica que vincula experiencias profesionales reales con herramientas conceptuales de avanzada."
"¿Qué caracteriza al enfoque educativo del IES?","Su orientación práctica, el sentido ético en la formación y el vínculo constante con organizaciones reales."
"¿Qué diferencia al IES de otras instituciones?","Su modelo combina teoría y práctica, fomentando la innovación, el compromiso ético y la inserción profesional a través de pasantías y proyectos reales."
"¿Qué rol tienen los seminarios finales en las carreras del IES?","Cada carrera incluye un seminario final donde los alumnos realizan aportes concretos a organizaciones, aplicando lo aprendido."
"¿Qué vínculos institucionales mantiene el IES?","Cuenta con acuerdos de reciprocidad con instituciones públicas, privadas y del tercer sector, fortaleciendo la formación profesional."
"¿El IES ofrece pasantías para sus alumnos?","Sí, dispone de un amplio programa de pasantías rentadas en organizaciones de la provincia de Córdoba."
"¿Cuántos egresados tiene el IES?","Más de 11.000 egresados que se desempeñan en todo el país y en el extranjero."
"¿Cuántos alumnos estudian actualmente en IES?","Aproximadamente 3.500 alumnos cursan en sus modalidades presencial y a distancia."
"¿Con cuántos docentes cuenta el IES?","Con 300 docentes altamente capacitados y con experiencia laboral en sus áreas profesionales."
"¿Hace cuántos años forma profesionales el IES?","Hace más de 40 años forma los profesionales que las empresas necesitan."
"¿Dónde se encuentra el IES?","En la provincia de Córdoba, con presencia educativa en modalidades presencial y a distancia."
"¿Qué modalidades de cursado ofrece el IES?","Ofrece educación presencial y a distancia, adaptada a las necesidades de cada estudiante."
"¿Qué tipo de perfil profesional busca desarrollar el IES?","Profesionales con competencias prácticas, visión ética y capacidad para resolver problemas reales en las organizaciones."
"¿Qué son las Prácticas Laborales con Colegios Secundarios de IES?","Son prácticas no rentadas destinadas a estudiantes del último año del secundario para que vivan su primera experiencia laboral en una organización real."
"¿Cuál es el objetivo de las prácticas laborales para secundarios?","Brindar a los alumnos la oportunidad de conocer el ambiente laboral y orientarse vocacionalmente hacia las carreras que les interesen."
"¿Qué busca fomentar IES con las prácticas laborales?","Promover la responsabilidad, el compromiso y la laboriosidad en los jóvenes que están por finalizar el secundario."
"¿Qué beneficios tienen los alumnos que realizan las prácticas en IES?","Reciben una bonificación del 100% en la matrícula y el cursillo si deciden continuar sus estudios en IES."
"¿Qué colegios participan en las prácticas laborales de IES?","Participan instituciones como William Morris, Santo Cristo, San Martín de Villa Allende, Sagrada Familia, Nuestra Señora del Huerto, San Agustín, Don Orione, Kennedy, entre otros."
"¿En qué áreas puedo realizar mi práctica laboral en IES?","Podés participar en áreas como Comunicación, Sistemas, Logística, Recursos Humanos, Bachillerato, Capacitación Continua, Atención Académica o Administración."
"¿Qué duración tienen las prácticas laborales?","La duración depende del convenio y del área asignada, adaptándose al calendario de cada colegio participante."
"¿Las prácticas laborales son rentadas?","No, son prácticas educativas no rentadas con fines formativos."
"¿Qué requisitos deben cumplirse antes de comenzar la práctica?","El convenio entre IES y el colegio debe estar firmado antes de iniciar; de lo contrario, el alumno no podrá permanecer en la institución."
"¿Qué ocurre si el convenio no está firmado el día de inicio?","El alumno no podrá comenzar la práctica hasta que el convenio esté debidamente firmado."
"¿Qué debe hacer el alumno si falta a una práctica?","Debe notificar la inasistencia el mismo día por teléfono y presentar certificado al reincorporarse."
"¿Quién cubre el seguro durante las prácticas laborales?","El colegio extiende la cobertura de Seguro de Vida y ART a los practicantes dentro de IES."
"¿Qué cobertura médica tiene IES?","IES cuenta con servicio de urgencias médicas provisto por EMI."
"¿Qué compromisos asumen los alumnos durante las prácticas?","Cumplir con el horario y las tareas asignadas desde el primer día, sin acceder a información confidencial."
"¿Quién elige a los alumnos que realizan las prácticas?","Son seleccionados según su desempeño académico, conducta, trabajo en equipo e interés por participar."
"¿Los alumnos deben cubrir gastos de transporte?","Sí, los gastos de traslado corren por cuenta de cada alumno."
"¿Los alumnos pueden participar de clases durante las prácticas?","Sí, deben asistir a una clase del programa académico de IES relacionada con su área de interés."
"¿Qué tipo de tareas realizan los practicantes?","Depende del área asignada; cada sector tiene un volumen de trabajo y responsabilidades específicas."
"¿Dónde se realizan las prácticas laborales?","En las instalaciones de IES, bajo supervisión del personal del área correspondiente."
"¿Las prácticas laborales tienen algún reconocimiento o certificación?","Sí, los participantes reciben una constancia de su experiencia y desempeño en la práctica laboral."
"¿Qué ofrece IES a las empresas en materia de capacitación?","Ofrece seminarios y talleres diseñados a medida para fortalecer competencias en equipos directivos, mandos medios o de línea."
"¿Cuál es el objetivo de los seminarios y talleres para empresas?","Contribuir al desarrollo de habilidades que mejoren la satisfacción laboral, el rendimiento y la productividad del personal."
